Elementos,Aspectos,Esfera de Governo,Local,Tipo de documento,Título do documento,Ano,Tipo de Legislação,Descrição,Trecho da Lei,Link,observações 
Largura da calçada,geral,Município,São Paulo,Lei,LEI 16.402 - LPUOS,2016,obrigatoriedade,Estabelece que nos novos loteamentos as calçadas necessitam ter no mínimo 30% de área permeável.,"Art. 48. Os loteamentos serão entregues [...] incluindo ciclovias, vias de pedestre e as calçadas. [...] § 3º As calçadas devem ser implantadas concomitantemente às vias de circulação, devendo ainda: I - propiciar condições adequadas de acessibilidade; II - ter no mínimo 30% (trinta por cento) de sua superfície formada por elementos permeáveis; III - ter arborização implantada, obedecendo, para o plantio, o espaçamento mínimo e a especificação das espécies arbóreas definidos nas normas editadas pelo órgão ambiental competente. ",http://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PL-272-15-com-razões-de-veto1.pdf,
Largura da calçada,geral,Município,São Paulo,Lei,LEI 16.402 - LPUOS,2016,obrigatoriedade,"Estabelece que para determinadas zonas e lotes, os passeios públicos devem ter largura mínima de 5m.","Art. 67. Em ZEU, ZEUa, ZEUP, ZEUPa, ZEM, ZEMP, ZC, ZCa, ZM e ZEIS, os passeios públicos deverão ter a largura mínima de 5m (cinco metros), observado que: 
I - nas ZEU, ZEUa, ZEUP, ZEUPa, ZEM e ZEMP, o alarga-mento do passeio público será obrigatório; 
II - nas ZC e ZCa, o alargamento do passeio público será obri-gatório para lotes maiores que 2.500m² (dois mil e quinhentos metros quadrados) e facultativo para os menores. 
§ 1º Nos casos em que o passeio público já apresente largura de 5m (cinco metros) ou quando ocorrer a doação da faixa necessária para seu alar-gamento, o recuo de frente ficará dispensado. ",http://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PL-272-15-com-razões-de-veto1.pdf,
Largura da calçada,"Definição das ""zonas""",Federal,Brasil,Norma Brasileira,NBR9050,2015,obrigatoriedade,"Divide a calçada em zonas e estabelece as respectivas larguras mínimas: faixa de serviço min. 0,70m; faixa livre min. 1,20m; faixa de acesso apenas para calçadas com mais de 2,0m."," 6.12.3 Dimensões mínimas da calçada. A largura da calçada pode ser dividida em três faixas de uso, conforme definido a seguir: a) faixa de serviço: serve para acomodar o mobiliário, os canteiros, as árvores e os postes de iluminação ou sinalização. Nas calçadas a serem construídas, recomenda-se reservar uma faixa de serviço com largura mínima de 0,70 m; b) faixa livre ou passeio: destina-se exclusivamente à circulação de pedestres, deve ser livre de qualquer obstáculo, ter inclinação transversal até 3 %, ser contínua entre lotes e ter no mínimo 1,20 m de largura e 2,10 m de altura livre; c) faixa de acesso: consiste no espaço de passagem da área pública para o lote. Esta faixa é possível apenas em calçadas com largura superior a 2,00 m. Serve para acomodar a rampa de acesso aos lotes lindeiros sob autorização do município para edificações já construídas.",http://www.pessoacomdeficiencia.gov.br/app/sites/default/files/arquivos/%5Bfield_generico_imagens-filefield-description%5D_164.pdf,
Largura da calçada,"Definição das ""zonas""",Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,"Organiza o passeio público em três faixas: de serviço, livre; de acesso.","Art. 4º. O passeio, organizado em 3 (três) faixas, na conformidade dos Desenhos I e II do Anexo II integrante deste decreto, é composto pelos seguintes elementos:
I - guias e sarjetas;
II - faixa de serviço;
III - faixa livre;
IV - faixa de acesso;
V - esquina, incluindo a área de intervisibilidade.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Largura da calçada,"Definição das ""zonas""",Município,Rio de Janeiro,Caderno,Caderno de Instruções GPV (Gerência de Projetos Viários),2013,obrigatoriedade,"Organiza o passeio público em três faixas: de serviço, livre; de acesso.","a. Faixa de Serviço – Esta faixa está localizada entre o meio fio e a faixa livre. Nesta faixa estão implantados elementos que são úteis para a qualidade e funcionamento do espaço público, de forma a deixar desimpedido o espaço da faixa livre.  Estes elementos são: vegetação, mobiliário urbano, postes, armários de equipamentos, jardineiras, rebaixamento para acesso de veículos ou qualquer outro obstáculo ou interferência que obrigatoriamente tenha que estar fora do espaço da faixa livre. Faixa de Serviço: largura mínima de 1,0m; b. Faixa Livre - Esta faixa é destinada ao percurso livre, seguro e confortável de todos os usuários. Deve estar completamente desobstruída e isenta de qualquer elemento que reduza a sua largura. A Norma NBR 9050 estabelece a largura mínima desta faixa livre segundo o fluxo de pedestres e a altura mínima que os obstáculos aéreos como marquises, faixas e placas de identificação, toldos luminosos, vegetação e outros devem se localizar sobre o espaço da faixa. c. Faixa de Acesso ao Lote: esta faixa pode ou não existir, dependendo da largura total da calçada. É o espaço situado entre a faixa livre e a testada dos lotes e edificações. Jarros de plantas, canteiros, mesas e cadeiras, quando permitidos pela legislação local, podem se localizar nestas faixas.
",http://www.rio.rj.gov.br/web/smo/coordenadoria-de-projetos,
Largura da calçada,"Definição das ""zonas""",Município,Belo Horizonte,Cartilha,Cartilha de Construção e Manutenção de Passeios,2013,obrigatoriedade,"Organiza o passeio público em três faixas: faixa de mobiliário urbano, faixa reservada ao trânsito de pedestres; faixa ajardinada.","FAIXA RESERVADA AO TRÂNSITO DE PEDESTRES: deve estar localizada junto ao alinhamento ou à faixa ajardinada, que ocorrerá a partir do alinhamento. FAIXA AJARDINADA:- obrigatória, quando prevista em projeto urbanístico específico do bairro, como Cidade Jardim;
- proibida em passeios com elevado fluxo de pedestres, a critério do órgão municipal de trânsito;- admitida desde que mantida faixa pavimentada com largura mínima de 1,50m (um metro e cinquenta centímetros) reservada ao trânsito de pedestres.Quando localizada junto ao meio-fio a faixa ajardinada deve ser somente gramada.A faixa ajardinada, quando admitida, deverá estar no mesmo nível da faixa pavimentada contígua do passeio e poderá estar delimitada por elemento de, no máximo: a) 0,10m (dez centímetros) de altura, quando localizada junto ao meio-fio; b) 0,30m (trinta centímetros) de altura, quando localizada junto ao alinhamento do terreno.   FAIXA DESTINADA AO MOBILIÁRIO URBANO: - deve ser previsto, sempre que possível; - deve ter largura igual ou inferior a 40% (quarenta por cento) da largura do passeio.",http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=regulacaourbana&tax=35500&lang=pt_BR&pg=5570&taxp=0&,
Largura da calçada,"Definição das ""zonas""",Distrito Federal,Brasília,Cartilha,Cartilha de acessibilidade do Distrito Federal Vol II - Projetos Urbanos,2010,obrigatoriedade,"Organiza o passeio público em três faixas: de serviço, livre ou passeio; de acesso a lotes e projeções.","Recomenda-se que a calçada seja composta por três faixas, com as seguintes características:
a. Faixa de Serviço — localizada em posição adjacente ao meio-fio, com qualquer tipo de revestimento e pode conter: rebaixamento de meio-fio, acesso de veículos a edificações, instalação de equipamentos e mobiliário urbano, elemento vegetal, redes de infraestrutura urbana, dentre outros;
b. Faixa Livre ou Passeio — superfície regular, firme, contínua, sem desníveis e piso antiderrapante, sob qualquer condição, livre de qualquer interferência ou barreira arquitetônica ao nível ou acima do solo, inclinação longitudinal acompanhando o greide da via e destacada visualmente por meio de cores ou materiais em relação às outras faixas da calçada;
c. Faixa de Acesso a Lotes e Projeções — localizada entre o passeio e o limite de lotes ou projeções e pode conter: áreas de permeabilidade, vegetação, elementos de mobiliário temporário, como mesas, cadeiras, toldos, mídia e exterior, garantida a não interferência na faixa de livre circulação, conforme respectiva previsão legal.",http://acessibilidade.net.br/downloads/cartilhas/Cartilha_acessibilidade%20_projetos_urbanos-vl2.pdf,
Largura da calçada,"Definição das ""zonas""",Município,Belo Horizonte,Lei,Código de Posturas de Belo Horizonte - Lei 8.616/2003,2003,obrigatoriedade,Define as faixas do passeio público.,"Art. 12-A - A construção do passeio deve prever, conforme regulamento: 
I - faixa reservada a trânsito de pedestres, obrigatória;  
II - faixa destinada a mobiliário urbano, sempre que possível;  
III - faixa ajardinada, obrigatória em áreas específicas.  
",http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=regulacaourbana&tax=23290&lang=pt_BR&pg=5570&taxp=0&,
Largura da calçada,Largura da faixa livre,Município,Belo Horizonte,Lei,Código de Posturas de Belo Horizonte - Lei 8.616/2003,2003,obrigatoriedade,Indica a largura mínima da faixa destinada ao transito de pedestres.,"Art. 12. [...] Parágrafo único - A faixa reservada a trânsito de pedestres deverá ter largura igual ou superior a 1,50m (um metro e meio) ou, no caso de passeio com medida inferior a 2,00m (dois metros), a 75% (setenta e cinco por cento) da largura desse passeio. ",http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=regulacaourbana&tax=23290&lang=pt_BR&pg=5570&taxp=0&,
Largura da calçada,Largura da faixa livre,Federal,Brasil,Norma Brasileira,NBR9050,2015,obrigatoriedade,Estabelece largura mínima da faixa livre da calçada conforme fluxo de pedestres,"6.12.6 Dimensionamento das faixas livres: Admite-se que a faixa livre possa absorver com conforto um fluxo de tráfego de 25 pedestres por minuto, em ambos os sentidos, a cada metro de largura, conforme a seguinte equação: L=F/K+Σi>= 1,20. Onde: L  é a largura da faixa livre; F  é o fluxo de pedestres estimado ou medido nos horários de pico (pedestres por minuto por metro); K = 25 pedestres por minuto; Σ i  é o somatório dos valores adicionais relativos aos fatores de impedância. Os valores adicionais relativos a fatores de impedância ( i ) são: a) 0,45 m junto a vitrines ou comércio no alinhamento; b) 0,25 m junto a mobiliário urbano; c) 0,25 m junto à entrada de edificações no alinhamento",http://www.pessoacomdeficiencia.gov.br/app/sites/default/files/arquivos/%5Bfield_generico_imagens-filefield-description%5D_164.pdf,
Largura da calçada,Largura da faixa livre,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,Estabelece largura mínima da faixa livre da calçada e esta deve ser livre de interferências e mobiliário.,"Art. 9º. A faixa livre é a área destinada exclusivamente à livre circulação de pedestres […] devendo atender às seguintes características: […]
IV - possuir largura mínima de 1,20m (um metro e vinte centímetros);  Art. 47. Nenhum equipamento ou interferência poderá estar localizado na área reservada à faixa livre.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Largura da calçada,Largura da faixa livre,Município,Rio de Janeiro,Plano ,Plano Diretor do Município do Rio de Janeiro Lei Complementar 111/2011,2011,obrigatoriedade,O Plano Diretor do RJ informa que outra lei deve disciplinar a largura mínima da faixa livre. Estabelece que a instalação de elementos na calçada deve possuir licença da Prefeitura. ,"Art. 21. Em relação às calçadas, cabe à Lei disciplinar, entre outros aspectos, as medidas mínimas, para a faixa de circulação livre de pedestres.
Parágrafo único. A construção de canteiros, gradis, fradinhos e outros aparatos nas calçadas dependerá de expressa licença da Prefeitura, observada, em qualquer hipótese, a preservação de faixa livre de obstáculos para circulação de pedestres, na forma da Lei.",http://www.rio.rj.gov.br/web/smu/exibeconteudo?id=2879239,
Largura da calçada,Largura da faixa livre,Município,Rio de Janeiro,Caderno,Caderno de Instruções GPV (Gerência de Projetos Viários),2013,orientação,Determina as larguras mínimas das faixas livres de acordo com fórmula da NBR9050.,"A norma brasileira de acessibilidade (NBR 9050) recomenda que seja adotada, para cálculo da largura mínima da faixa livre, uma fórmula na qual são consideradas algumas características da rua, como a existência de mobiliário urbano sobre passeio, entrada de edificações, vitrines, comércio no alinhamento. Portanto para ter-se um fluxo de pedestre de forma segura, acessível e confortável recomenda-se que as faixas das calçadas sejam dimensionadas conforme as instruções que abaixo: Nº de Pedestres/minutos/metro <= 25 (só residências): faixa livre mínima de 1,50m; nºped/min/m =30: 2,15m; nºped/min/m =40: 2,55m; nºped/min/m =50: 2,95m; nºped/min/m =60: 3,35m; nºped/min/m =70: 3,75m; Fatores de impedência, somar: Vitrines (0,45m) + Mobiliário Urbano (0,25m) + Entrada Imóveis (0,25m) = 0,95m (Total)",http://www.rio.rj.gov.br/web/smo/coordenadoria-de-projetos,
Largura da calçada,Largura da faixa livre,Município,Belo Horizonte,Cartilha,Cartilha de Construção e Manutenção de Passeios,2013,obrigatoriedade,"Largura mínima da faixa reservada ao pedestre ou faixa livre é de 1,50m.","FAIXA RESERVADA AO TRÂNSITO DE PEDESTRES: - deve ter largura igual ou superior a 1,50m (um metro e cinquenta centímetros) ou, no caso de passeio com medida inferior a 2,00m (dois metros), a 75% (setenta e cinco por cento) da largura desse passeio, restando 25% (vinte e cinco por cento) para a instalação de mobiliário urbano, exceto se houver disposição em contrário;
",http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=regulacaourbana&tax=35500&lang=pt_BR&pg=5570&taxp=0&,
Largura da calçada,Largura da faixa livre,Distrito Federal,Brasília,Cartilha,Cartilha de acessibilidade do Distrito Federal Vol II - Projetos Urbanos,2010,orientação,Determina as larguras mínimas das faixas livres de acordo com fórmula da NBR9050.,"O cálculo de fluxo de pedestres auxilia no dimensionamento das áreas livres de circulação e permite identificar os locais onde não podem ser implantados mobiliários ou equipamentos urbanos. A área livre de circulação deve absorver um fluxo de tráfego de 25 pedestres por minuto, em ambos os sentidos, a cada metro de largura. Para determinação da largura da faixa livre em função do fluxo de pedestres utiliza-se a seguinte equação: (equação dada pela NBR9050/2004).",http://acessibilidade.net.br/downloads/cartilhas/Cartilha_acessibilidade%20_projetos_urbanos-vl2.pdf,
Largura da calçada,Largura da faixa livre,Distrito Federal,Brasília,Cartilha,Cartilha de acessibilidade do Distrito Federal Vol II - Projetos Urbanos,2010,obrigatoriedade,"Largura mínima da faixa reservada ao pedestre ou faixa livre é de 1,50m.","Entende-se por passeio a parte da calçada livre de barreiras e destinada exclusivamente ao pedestre. Os passeios devem ser contínuos, ter largura mínima de 1,50m (um metro e cinquenta centímetros) e os desníveis vencidos por meio de rampas , sendo
que: a. na adequação de situações consolidadas, não é admitida largura inferior a 1,20m (um metro e vinte centímetros); b. nos casos de adaptação de bens culturais imóveis e de intervenções para regularização urbanística em áreas de assentamentos de baixa renda, é admitido, em caráter excepcional, o passeio com largura inferior a 1,20m (um metro e vinte centímetros), desde que haja justificativa baseada em estudo técnico e que o acesso seja viabilizado de outra forma. Os passeios e calçadas em vias internas pertencentes a condomínios, constituídos por unidades autônomas, são integrantes das vias terrestres e devem atender o disposto na legislação. As vias terrestres urbanas constituem-se de ruas, avenidas, logradouros, caminhos, passagens, estradas e rodovias.",http://acessibilidade.net.br/downloads/cartilhas/Cartilha_acessibilidade%20_projetos_urbanos-vl2.pdf,
Largura da calçada,Faixa de acesso,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,permissão,Estabelece usos permitidos para a faixa de acesso.,"Art. 10. Faixa de acesso é a área destinada à acomodação das interferências resultantes da implantação, do uso e da ocupação das edificações existentes na via pública, autorizados pelo órgão competente, de forma a não interferir na faixa livre, sendo recomendável para passeios com mais de 2m (dois metros).
Art. 11. A faixa de acesso do lote poderá conter:
I - áreas de permeabilidade e vegetação, as quais poderão ser instaladas na faixa de acesso, desde que atendam aos critérios de implementação constantes da legislação relativa às calçadas verdes;
II - a implantação de estacionamento em recuo frontal, desde que respeitada a faixa de transição entre os veículos e a faixa de livre circulação;
III - elementos de mobiliário temporário, os quais poderão ficar nessa área, tais como mesas, cadeiras e toldos, obedecidas as disposições das Leis nº 12.002, de 23 de janeiro de 1996, e nº 12.260, de 11 de dezembro de 1996;
IV - projeção de anúncios, desde que garantida a não interferência na faixa de livre circulação e o respeito ao disposto nas Leis nº 13.517, de 29 de janeiro de 2003, e nº 13.525, de 28 de fevereiro de 2005.
Parágrafo único. Nas faixas de acesso deverão ser evitados fatores de impedância.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Interferências e Mobiliário Urbano,Altura mínima desimpedida,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,"Estabelece altura mínima para a faixa livre sem interferências = 2,10m.","Art. 35. Nas faixas livres, os passeios deverão atender às seguintes especificações:[…] III - altura mínima, livre de interferências, de 2,10m (dois metros e dez centímetros).
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Interferências e Mobiliário Urbano,Altura mínima desimpedida,Município,Rio de Janeiro,Caderno,Caderno de Instruções GPV (Gerência de Projetos Viários),2013,obrigatoriedade,"Estabelece altura mínima para a faixa livre sem interferências = 2,10m.","Em toda a largura da faixa livre deverá ser observada uma altura mínima livre igual a 2,10m, do piso até eventuais obstáculos aéreos como marquises, faixas, placas de identificação, toldos vegetação e outros. ",http://www.rio.rj.gov.br/web/smo/coordenadoria-de-projetos,
Interferências e Mobiliário Urbano,Altura mínima desimpedida,Município,São Paulo,Manual,Manual de Sinalização Urbana CET - Introdução - Critérios de Projeto - Vol I - Revisão 01.,2012,obrigatoriedade,Estabelece a altura mínima de instalação das placas de sinalização. ,"2.5.2. Sinalização de Advertência. Para as placas em vias arteriais, coletoras e locais, deve-se sempre manter uma altura livre “h” maior ou igual a 2,0m e menor ou igual a 2,50m. Pode ser adotada altura livre entre 1,20m e 2,00 quando a locação da placa não interfere na circulação de pedestres. No caso de utilização de lados maiores, manter a altura – h –especificada. 2.5.3. Via de Trânsito Rápido: No caso de vias de trânsito rápido a altura mínima pode ser maior ou igual a 1,50m. 
",http://www.cetsp.com.br/consultas/publicacoes/manuais-de-sinalizacao-urbana.aspx,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Manual,Manual de Sinalização Urbana CET - Introdução - Critérios de Projeto - Vol I - Revisão 01.,2012,obrigatoriedade,Estabelece a distância mínima de instalação das placas de sinalização em relação ao meio fio. Informa que as placas de sinalização devem ser instaladas na faixa de serviço. ,"São dados a seguir a definição das áreas-padrão para colocação na via, das placas que contém os sinais de regulamentação, advertência e educativa e os padrões de colocação das mesmas quanto à altura e afastamento lateral. A área padrão de instalação das placas deve estar contida sempre na faixa de serviço, definida pelo Decreto Municipal 45904 de 19/05/05 que disciplina a utilização das calçadas.  O objetivo do afastamento lateral mínimo é o de dar segurança ao tráfego. Foi definida a distância mínima das placas, para várias situações: em trecho reto, o poste que suporta a placa deve ser instalado a 0,30m da guia; trecho em curva a distância deve ser de 0,40m. Em via com dispositivo de proteção contínua, o afastamento lateral deve ser maior ou de 0,80m. Admite-se distâncias inferiores de acordo com as características do local.",http://www.cetsp.com.br/consultas/publicacoes/manuais-de-sinalizacao-urbana.aspx,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,Estabelece a localização das interferências e mobiliário urbano nas faixas de acesso e serviço da calçada.,"Art. 48. Os equipamentos aflorados, quiosques e lixeiras, papeleiras, caixas de correio, bancos, dispositivos de ventilação, câmaras enterradas, sinalização de trânsito e dispositivos controladores de trânsito, postes da rede de energia elétrica e abrigos de ônibus deverão ser instalados exclusivamente na faixa de serviço.
Art. 49. As interferências temporárias, tais como anúncios, mesas, cadeiras, deverão se localizar na faixa de acesso.
Art. 50. Os postes de iluminação pública, telefones públicos, bancas de jornal, armários elevados, transformadores semi-enterrados, tampas de inspeção, grelhas e mobiliário urbano poderão ser instalados na faixa de serviço ou na faixa de acesso. Art. 52. Os mobiliários urbanos, dentro da via pública, serão instalados respeitando as seguintes condições, de acordo com o Anexo III integrante deste decreto:
I - preservação da visibilidade entre motoristas e pedestres;
II - nenhum mobiliário deverá ser instalado nas esquinas, exceto sinalização viária, placas com nomes de logradouros, postes de fiação e hidrantes;
III - deverão ser instalados em locais em que não intervenham na travessia de pedestres;
IV - os equipamentos de pequeno porte, como telefones públicos, caixas de correio e lixeiras deverão ser instalados à distância mínima de 5m (cinco metros) do bordo do alinhamento da via transversal;
V - os equipamentos de grande porte, tais como abrigos de ônibus, bancas de jornal e quiosques, deverão ser implantados à, no mínimo, 15m (quinze metros) de distância do bordo do alinhamento da via transversal.

",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Lei,Lei 15442/2011 Construção e manutenção de passeios.,2011,obrigatoriedade,Estabelece regras para instalação de mobiliário urbano.,"Art. 8º A instalação de mobiliário urbano nos passeios, tais como telefones públicos, caixas de correio e lixeiras, não poderá bloquear, obstruir ou dificultar o acesso de veículos, o livre acesso e circulação de pedestres, em especial das pessoas com deficiência, ou a visibilidade dos pedestres e motoristas, na confluência das vias, observada a normatização específica expedida pelo Executivo, sob pena de aplicação da multa prevista no Anexo Único integrante desta lei. 
Parágrafo único. Qualquer que seja a largura do passeio deverá ser respeitada a faixa livre mínima de 1,20m (um metro e vinte centímetros), destinada exclusivamente a livre circulação de pedestres. 
Art. 18. A Prefeitura poderá efetuar a apreensão e a remoção do mobiliário urbano, caso a irregularidade prevista no art. 8º desta lei perdure por mais de 60 (sessenta) dias. 
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/lei-no-15442-de-9-de-setembro-de-2011,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Decreto,Lei do Passeio Livre Decreto 52.903/2012,2012,obrigatoriedade,Regulamenta as regras para instalação de mobiliário urbano estabelecidas pela Lei 15.442 de 2011.,"Art. 14. A instalação de mobiliário urbano no passeio público, tais como telefones públicos, caixas de correio, cestos públicos de lixo e bancas de jornais, não poderá bloquear, obstruir ou dificultar o acesso de veículos, o livre acesso e circulação de pedestres, em especial de pessoas com deficiência, ou a visibilidade dos pedestres e motoristas, na confluência de vias, observada a normatização específica, sob pena de aplicação da multa prevista no Anexo Único integrante da Lei nº 15.442, de 2011.
§ 1º. Qualquer que seja a largura do passeio público deverá ser respeitada a faixa livre mínima de 1,20 metros (um metro e vinte centímetros), destinada exclusivamente à livre circulação de pedestres.  Art. 24. A Prefeitura poderá efetuar a apreensão e a remoção do mobiliário urbano, caso a irregularidade prevista no artigo 8º da Lei nº 15.442, de 2011, perdure por mais de 60 (sessenta) dias.
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/decreto-no-52903-de-6-de-janeiro-de-2012,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,Estabelece as regras para implantação de postes elétricos e de iluminação pública de modo a não interferir no percurso do pedestre.,"Art. 54. Os postes elétricos e de iluminação pública deverão ser implantados de acordo com as seguintes regras:
I - estar acomodados na faixa de serviço ou de acesso, distantes do bordo do alinhamento da via transversal, a fim de não interferirem nos rebaixamentos de calçadas e guias para travessia de pedestres;
II - o eixo de implantação do poste deverá estar distante no mínimo 60cm (sessenta centímetros) do bordo da guia, não interferindo nos rebaixamentos de acesso de veículos, nem na faixa livre. Art. 57. Os transformadores semi-enterrados deverão estar encobertos ou associados a elementos e dispositivos arquitetônicos ou soluções paisagísticas para que se integrem aos espaços implantados.
Art. 58. O vão máximo permitido para as tampas e guarnições é de 5mm (cinco milímetros) e para as grelhas de inspeção é de 1,5cm (um centímetro e meio).
Parágrafo único. Os mobiliários de que trata este artigo deverão, ainda:
I - ser nivelados pelo piso do passeio, sendo os ressaltos ou juntas de dilatação embutidos no piso, transversalmente ao sentido do fluxo de pedestres;
II - possuir textura da superfície diferenciada em relação à de pisos táteis de alerta ou direcionais.

",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Decreto,Decreto 45.904/2005 Padronização dos passeios.,2005,obrigatoriedade,Estabelece as regras para implantação de sinalização e controladores de trânsito de modo a não interferir no percurso do pedestre.,"Art. 55. A sinalização de trânsito deverá ser implantada na conformidade das seguintes regras:
I - otimização das interferências na via, utilizando o mínimo de fixadores e postes para sua implantação;
II - estar locada a 45cm (quarenta e cinco centímetros) do eixo da guia, em áreas retilíneas;
III - estar locada a, no mínimo, 60cm (sessenta centímetros) do eixo da guia em áreas curvas, não interferindo na intervisibilidade e na faixa livre junto às esquinas.
Art. 56. Os dispositivos controladores de trânsito deverão ser implantados conforme os seguintes critérios:
I - otimização das interferências na via, utilizando-se do mínimo de fixadores ou postes para sua implantação;
II - implantação fora de áreas de conflito veicular ou conversão das esquinas;
III - estar localizados próximos à rede elétrica, se sua alimentação for aérea;
IV - em alimentação subterrânea, as tampas de inspeção e passagem deverão ser locadas na faixa de serviço, fora da faixa livre e rebaixamentos de calçadas e guias para travessia de pedestres;
V - preservação das boas condições de intervisibilidade.
",http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=20052005D%20459040000,
Interferências e Mobiliário Urbano,Regras para implantação,Município,São Paulo,Decreto,Lei do Passeio Livre Decreto 52.903/2012,2012,proibição,Proibição de instalar mobiliário urbano nos rebaixamentos das travessias de pedestres ou que dificulte a visibilidade destes e de motoristas.,"Art. 28. [...] § 1º. Fica vedada a instalação dos mobiliários urbanos de que trata o artigo 14 deste decreto junto a rebaixamento vinculado às travessias sinalizadas, sob pena de aplicação da multa constante do Anexo Único integrante da Lei nº 15.442, de 2011.
§ 2º. O mobiliário existente que prejudique o acesso de pedestres ou dificulte a sua visibilidade ou a de motoristas será removido pela Prefeitura ou, por sua determinação, pelo órgão responsável.
",http://www.leispaulistanas.com.br/calcada-passeios-muros-limpeza/decreto-no-52903-de-6-de-janeiro-de-2012,
Interferências e Mobiliário Urbano,Regras para implantação,Município,Belo Horizonte,Cartilha,Cartilha de Construção e Manutenção de Passeios,2013,obrigatoriedade,Estabelece regras para instalação de suporte de lixo fixo.,"Somente poderá ser instalado no passeio o suporte fixo de lixo em edificações de uso exclusivamente residencial e quando o volume de lixo for inferior a 100 litros/dia. Caso a produção seja superior a este valor, a edificação deverá utilizar coletor móvel. Para suporte fixo de lixo, não é necessário licenciamento. O suporte fixo para colocação de lixo deve atender as seguintes condições: a) servir à edificação de uso exclusivamente residencial; b) possuir área de projeção máxima de 1,00m² (um metro quadrado); c) possuir altura de 0,70m (setenta centímetros) a 0,80m (oitenta centímetros) contada do piso até sua parte mais alta; d) ser instalado sobre a faixa destinada a mobiliário urbano; e) não estar localizado em passeio com intenso fluxo de pedestres.",http://portalpbh.pbh.gov.br/pbh/ecp/comunidade.do?evento=portlet&pIdPlc=ecpTaxonomiaMenuPortal&app=regulacaourbana&tax=35500&lang=pt_BR&pg=5570&taxp=0&,
Interferências e Mobiliário Urbano,Regras para implantação,Município,Rio de Janeiro,Plano ,Plano Diretor do Município do Rio de Janeiro Lei Complementar 111/2011,2011,obrigatoriedade,"Estabelece que o mobiliário urbano não deve impedir o fluxo de veículos no leito carroçável, a circulação de pedestres na calçada ou impedir a locomoção de pessoas com mobilidade reduzida, obstruir o acesso às faixas de travessia de pedestres e acessos.","Art. 22. Os elementos do mobiliário urbano, implantados, direta ou indiretamente, pelo Poder Público, não poderão: 
I - ocupar ou estar projetado sobre o leito carroçável das vias; 
II - obstruir a circulação de pedestres ou configurar perigo ou impedimento à locomoção de pessoas com deficiência e mobilidade reduzida; 
III - obstruir o acesso a faixas de travessias de pedestres, escadas rolantes ou entradas e saídas de público, sobretudo as de emergência ou para pessoas com deficiência e mobilidade reduzida.",http://www.rio.rj.gov.br/web/smu/exibeconteudo?id=2879239,
